Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Brand_Name,Ticker,Industry_Tag,Country
2023-09-20 00:00:00-04:00,4.840000153,4.909999847,4.630000114,4.670000076,7441900,0,0,peloton,PTON,fitness,usa
2023-09-20 00:00:00-04:00,397.0499878,397.9899902,386.1199951,386.2999878,3866600,0,0,netflix,NFLX,entertainment,usa
2023-09-20 00:00:00-04:00,564.3499756,569.2199707,562.6599731,563.8300171,1311500,0,0,costco,COST,retail,usa
2023-09-20 00:00:00-04:00,138.5500031,139.3699951,135.1999969,135.2899933,46263700,0,0,amazon,AMZN,e-commerce,usa
2023-09-20 00:00:00-04:00,179.2599945,179.6999969,175.3999939,175.4900055,58436200,0,0,apple,AAPL,technology,usa
2023-09-20 00:00:00-04:00,93.97000122,95.40000153,93.83000183,94.04000092,10274200,0,0,nike,NKE,apparel,usa
2023-09-20 00:00:00-04:00,120.5800018,121.5400009,120.0699997,120.4100037,3263500,0,0,target,TGT,retail,usa
2023-09-20 00:00:00-04:00,138.0800018,138.0800018,133.6199951,133.7400055,29927500,0,0,google,GOOGL,technology,usa
2023-09-20 00:00:00-04:00,163.0299988,167.7400055,160.7100067,160.7700043,1707400,0,0,spotify,SPOT,music,usa
2023-09-20 00:00:00-04:00,69.5,70.05000305,68.76999664,68.80000305,2213800,0,0,zoom video communications,ZM,technology,usa
2023-09-20 00:00:00-04:00,82.02999878,83.19999695,81.63999939,82.55999756,12715200,0,0,the walt disney company,DIS,entertainment,usa
2023-09-20 00:00:00-04:00,27.21999931,27.29000092,26.20000076,26.25,7819500,0,0,roblox,RBLX,gaming,usa
2023-09-20 00:00:00-04:00,10.61999989,10.63000011,10.5,10.5,2137700,0,0,nintendo,NTDOY,gaming,japan
2023-09-20 00:00:00-04:00,39.77000046,39.86999893,38.77000046,38.88000107,7000200,0,0,delta air lines,DAL,aviation,usa
2023-09-20 00:00:00-04:00,329.5100098,329.5899963,320.5100098,320.769989,21436500,0,0,microsoft,MSFT,technology,usa
2023-09-20 00:00:00-04:00,29.15999985,29.22999954,28.51000023,28.52000046,4993100,0,0,southwest airlines,LUV,aviation,usa
2023-09-20 00:00:00-04:00,14.5,14.75,14.5,14.60000038,3690200,0,0,american eagle outfitters,AEO,apparel,usa
2023-09-20 00:00:00-04:00,267.0400085,273.9299927,262.4599915,262.5899963,122514600,0,0,tesla,TSLA,automotive,usa
2023-09-20 00:00:00-04:00,95.44999695,96.62000275,95.05000305,95.16000366,4572100,0,0,starbucks,SBUX,food & beverage,usa
2023-09-20 00:00:00-04:00,436,439.0299988,422.230011,422.3900146,36710800,0,0,nvidia,NVDA,technology,usa
2023-09-20 00:00:00-04:00,215.1999969,217.1799927,212.9199982,213.0299988,2990900,0,0,salesforce / slack,CRM,technology,usa
2023-09-20 00:00:00-04:00,36.18999863,36.65000153,36.13000107,36.13000107,926400,0,0,honda,HMC,automotive,japan
2023-09-20 00:00:00-04:00,73.47000122,73.94999695,73.02999878,73.76000214,4212100,0,0,colgate palmolive,CL,consumer goods,usa
2023-09-20 00:00:00-04:00,210.2100067,212.1399994,208.25,211.3300018,1311700,0,0,hershey company,HSY,food & beverage,usa
2023-09-20 00:00:00-04:00,5.239999771,5.28000021,5.190000057,5.199999809,258000,0,0,porsche,POAHY,automotive,germany
2023-09-20 00:00:00-04:00,1920,1939.829956,1919.949951,1920.47998,130100,0,0,chipotle,CMG,food,usa
2023-09-20 00:00:00-04:00,105,105,105,105,300,0,0,bmw group,BAMXF,automotive,germany
2023-09-20 00:00:00-04:00,27.89999962,28.30999947,26.81999969,27.02000046,40018600,0,0,pinterest,PINS,social media,usa
2023-09-20 00:00:00-04:00,71.91999817,72.25,71.63999939,71.80000305,473100,0,0,logitech,LOGI,technology,switzerland
2023-09-20 00:00:00-04:00,58.61999893,58.70000076,56.83499908,56.97000122,8228600,0,0,shopify,SHOP,e-commerce,canada
2023-09-20 00:00:00-04:00,90.06999969,90.69999695,87.88999939,87.94000244,910600,0,0,crocs,CROX,footwear,usa
2023-09-20 00:00:00-04:00,102.3600006,103.9400024,100.2799988,100.3399963,55180600,0,0,amd,AMD,technology,usa
